Tinh_Thanh,Ngay_Thang,Nhiet_Do,Do_Am,Gio_kph,Mua_mm,Chi_So_UV
Tan Uyen,2/22/2026 19:00,27.7,69,13.4,0,0
Tan Uyen,2/22/2026 20:00,26.2,75,12.9,0,0
Tan Uyen,2/22/2026 21:00,25.2,82,10.7,0,0
Tan Uyen,2/22/2026 22:00,24.5,86,9.5,0,0
Tan Uyen,2/22/2026 23:00,24.1,89,8.7,0,0
Tan Uyen,2/23/2026 0:00,23.8,90,9.1,0,0
Tan Uyen,2/23/2026 1:00,23.6,91,8.7,0,0
Tan Uyen,2/23/2026 2:00,23.5,91,8.9,0,0
Tan Uyen,2/23/2026 3:00,23.4,91,9.5,0,0
Tan Uyen,2/23/2026 4:00,23.4,91,9.2,0,0
Tan Uyen,2/23/2026 5:00,23.4,91,8.1,0,0
Tan Uyen,2/23/2026 6:00,23.4,92,6.6,0,0
Tan Uyen,2/23/2026 7:00,23.8,91,5.6,0,0.2
Tan Uyen,2/23/2026 8:00,25.2,84,7.6,0,1.55
Tan Uyen,2/23/2026 9:00,26.8,77,8.2,0,3.65
Tan Uyen,2/23/2026 10:00,28.3,71,7.2,0,5.85
Tan Uyen,2/23/2026 11:00,29.8,64,7.4,0,7.6
Tan Uyen,2/23/2026 12:00,30.7,58,5.5,0,8.6
Tan Uyen,2/23/2026 13:00,32.1,52,3.5,0,8.7
Tan Uyen,2/23/2026 14:00,32.9,48,3.2,0,6.05
Tan Uyen,2/23/2026 15:00,33,47,4,0,2.75
Tan Uyen,2/23/2026 16:00,32.8,48,4.7,0,2.9
Tan Uyen,2/23/2026 17:00,32.2,49,5.4,0,1.7
Tan Uyen,2/23/2026 18:00,30.4,57,9,0,0.2
Tan Uyen,2/23/2026 19:00,27.9,65,14.9,0,0
Tan Uyen,2/23/2026 20:00,26.3,68,12.3,0,0
Tan Uyen,2/23/2026 21:00,25.3,75,10.5,0,0
Tan Uyen,2/23/2026 22:00,24.7,78,9.5,0,0
Tan Uyen,2/23/2026 23:00,24.2,81,9.1,0,0
Tan Uyen,2/24/2026 0:00,23.7,84,8.3,0,0
Tan Uyen,2/24/2026 1:00,23.6,87,8.1,0,0
Tan Uyen,2/24/2026 2:00,23.3,89,7.1,0,0
Tan Uyen,2/24/2026 3:00,23.1,90,6.8,0,0
Tan Uyen,2/24/2026 4:00,23,91,6.4,0,0
Tan Uyen,2/24/2026 5:00,22.9,92,6.4,0,0
Tan Uyen,2/24/2026 6:00,22.8,92,5,0,0
Tan Uyen,2/24/2026 7:00,23.3,91,4.2,0,0.2
Tan Uyen,2/24/2026 8:00,25,83,7.3,0,1.35
Tan Uyen,2/24/2026 9:00,26.7,74,8.9,0,2.95
Tan Uyen,2/24/2026 10:00,28.2,67,7.4,0,5.4
Tan Uyen,2/24/2026 11:00,29.7,61,5.6,0,7.35
Tan Uyen,2/24/2026 12:00,30.4,58,4.3,0,8.3
Tan Uyen,2/24/2026 13:00,31.2,55,3.1,0,8.05
Tan Uyen,2/24/2026 14:00,32,51,0.8,0,7.3
Tan Uyen,2/24/2026 15:00,32.2,50,1.3,0,5.95
Tan Uyen,2/24/2026 16:00,32.3,49,2.3,0,3.8
Tan Uyen,2/24/2026 17:00,31.8,51,4.3,0,1.85
Tan Uyen,2/24/2026 18:00,29.8,61,5.9,0,0.4
Tan Uyen,2/24/2026 19:00,28,67,13.9,0,0
Tan Uyen,2/24/2026 20:00,26.3,71,13.1,0,0
Tan Uyen,2/24/2026 21:00,25.4,78,10.3,0,0
Tan Uyen,2/24/2026 22:00,24.8,82,10.2,0,0
Tan Uyen,2/24/2026 23:00,24.2,86,9.3,0,0
Tan Uyen,2/25/2026 0:00,23.9,89,9,0,0
Tan Uyen,2/25/2026 1:00,23.9,90,9,0,0
Tan Uyen,2/25/2026 2:00,23.9,91,8.3,0,0
Tan Uyen,2/25/2026 3:00,23.8,91,7.6,0,0
Tan Uyen,2/25/2026 4:00,23.7,93,6.8,0,0
Tan Uyen,2/25/2026 5:00,23.7,93,5.8,0,0
Tan Uyen,2/25/2026 6:00,23.7,94,4.9,0,0
Tan Uyen,2/25/2026 7:00,24.3,92,3.7,0,0.2
Tan Uyen,2/25/2026 8:00,25.6,85,6.7,0,1.6
Tan Uyen,2/25/2026 9:00,27,77,7.7,0,3.75
Tan Uyen,2/25/2026 10:00,28.5,70,6.8,0,5.95
Tan Uyen,2/25/2026 11:00,29.6,66,5.2,0,7.7
Tan Uyen,2/25/2026 12:00,30.4,61,4.1,0,8.7
Tan Uyen,2/25/2026 13:00,31.9,54,5.9,0,8.8
Tan Uyen,2/25/2026 14:00,32.5,51,5.5,0,7.75
Tan Uyen,2/25/2026 15:00,32.9,48,4.1,0,2.65
Tan Uyen,2/25/2026 16:00,32.8,48,2.2,0,2.45
Tan Uyen,2/25/2026 17:00,32.2,49,3.9,0,1.5
Tan Uyen,2/25/2026 18:00,30.6,58,4.2,0,0.25
Tan Uyen,2/25/2026 19:00,29.1,65,7,0,0
Tan Uyen,2/25/2026 20:00,27.4,74,11.5,0,0
Tan Uyen,2/25/2026 21:00,26.4,77,8.3,0,0
Tan Uyen,2/25/2026 22:00,25.6,82,6.6,0,0
Tan Uyen,2/25/2026 23:00,25.3,86,5.8,0,0
Tan Uyen,2/26/2026 0:00,24.8,88,5.5,0,0
Tan Uyen,2/26/2026 1:00,24.5,89,4.7,0,0
Tan Uyen,2/26/2026 2:00,24.3,90,5.1,0,0
Tan Uyen,2/26/2026 3:00,24.1,91,5.5,0,0
Tan Uyen,2/26/2026 4:00,24,92,5,0,0
Tan Uyen,2/26/2026 5:00,24,93,4,0,0
Tan Uyen,2/26/2026 6:00,24,94,2.8,0,0
Tan Uyen,2/26/2026 7:00,24.3,94,2.8,0.1,0.2
Tan Uyen,2/26/2026 8:00,25.3,89,4.8,0,1.05
Tan Uyen,2/26/2026 9:00,25.6,88,5.5,0.2,2.85
Tan Uyen,2/26/2026 10:00,26.6,83,4,0,2.15
Tan Uyen,2/26/2026 11:00,28,75,4.2,0,1.6
Tan Uyen,2/26/2026 12:00,28.1,75,4.3,0.1,2.5
Tan Uyen,2/26/2026 13:00,27.1,83,3.6,0.3,6.35
Tan Uyen,2/26/2026 14:00,27.8,81,4.2,0.1,5.8
Tan Uyen,2/26/2026 15:00,28.1,77,4.8,0,2.6
Tan Uyen,2/26/2026 16:00,27.8,77,4.2,0.1,0.65
Tan Uyen,2/26/2026 17:00,27.3,81,5.4,0,0.15
Tan Uyen,2/26/2026 18:00,26.2,87,5.9,0.2,0
Tan Uyen,2/26/2026 19:00,25.8,88,4.4,0.1,0
Tan Uyen,2/26/2026 20:00,25.7,89,3.4,0,0
Tan Uyen,2/26/2026 21:00,25.5,90,4.3,0,0
Tan Uyen,2/26/2026 22:00,25.2,90,5.6,0,0
Tan Uyen,2/26/2026 23:00,24.7,91,6.1,0,0
Tan Uyen,2/27/2026 0:00,24.2,92,5.4,0,0
Tan Uyen,2/27/2026 1:00,23.9,94,3.6,0,0
Tan Uyen,2/27/2026 2:00,23.6,94,2.8,0,0
Tan Uyen,2/27/2026 3:00,23.5,95,3.1,0,0
Tan Uyen,2/27/2026 4:00,23.3,95,2.9,0,0
Tan Uyen,2/27/2026 5:00,23.2,95,2.8,0,0
Tan Uyen,2/27/2026 6:00,23.1,95,2.8,0,0
Tan Uyen,2/27/2026 7:00,23.5,95,2.6,0,0.05
Tan Uyen,2/27/2026 8:00,25.5,87,5.8,0,1.45
Tan Uyen,2/27/2026 9:00,27.3,78,10.4,0,3.75
Tan Uyen,2/27/2026 10:00,28.5,72,11.9,0.1,6
Tan Uyen,2/27/2026 11:00,29.9,68,9.8,0.2,7.75
Tan Uyen,2/27/2026 12:00,30.7,65,9.4,0.1,8.55
Tan Uyen,2/27/2026 13:00,30.3,67,7.1,0.1,7.8
Tan Uyen,2/27/2026 14:00,29.4,73,9.7,2.5,5.25
Tan Uyen,2/27/2026 15:00,27.8,79,12.8,5.4,1.9
Tan Uyen,2/27/2026 16:00,28,77,10.4,0.2,0.4
Tan Uyen,2/27/2026 17:00,27.5,78,9.3,0.2,0.45
Tan Uyen,2/27/2026 18:00,26.7,81,5.5,0.1,0.1
Tan Uyen,2/27/2026 19:00,25.6,89,2,0,0
Tan Uyen,2/27/2026 20:00,25.4,90,2.3,0,0
Tan Uyen,2/27/2026 21:00,25.1,91,2.9,0,0
Tan Uyen,2/27/2026 22:00,24.8,92,3.9,0,0
Tan Uyen,2/27/2026 23:00,24.3,93,5,0,0
Tan Uyen,2/28/2026 0:00,23.8,95,5.2,0,0
Tan Uyen,2/28/2026 1:00,23.4,96,5.6,0,0
Tan Uyen,2/28/2026 2:00,23.2,97,5.1,0,0
