Tinh_Thanh,Ngay_Thang,Nhiet_Do,Do_Am,Gio_kph,Mua_mm,Chi_So_UV
Tan Uyen,2/28/2026 3:00,23,97,5.1,0,0
Tan Uyen,2/28/2026 4:00,22.9,97,5.2,0,0
Tan Uyen,2/28/2026 5:00,22.8,97,4.7,0,0
Tan Uyen,2/28/2026 6:00,22.7,97,5,0,0
Tan Uyen,2/28/2026 7:00,23.4,96,5.7,0,0.25
Tan Uyen,2/28/2026 8:00,25,88,10.7,0,1.65
Tan Uyen,2/28/2026 9:00,26.9,78,12.1,0,3.75
Tan Uyen,2/28/2026 10:00,28.4,69,11.9,0,5.95
Tan Uyen,2/28/2026 11:00,29.9,62,10.7,0,7.8
Tan Uyen,2/28/2026 12:00,31.2,57,9.7,0,8.8
Tan Uyen,2/28/2026 13:00,32.5,52,6.2,0,8.9
Tan Uyen,2/28/2026 14:00,32.7,51,6.7,0,8.1
Tan Uyen,2/28/2026 15:00,32.9,49,6.3,0,6.3
Tan Uyen,2/28/2026 16:00,32.5,49,7.6,0,2.7
Tan Uyen,2/28/2026 17:00,31.4,54,9.6,0,1.35
Tan Uyen,2/28/2026 18:00,29.2,66,10.8,0,0.35
Tan Uyen,2/28/2026 19:00,27.4,78,10.2,0,0
Tan Uyen,2/28/2026 20:00,26.3,83,10,0,0
Tan Uyen,2/28/2026 21:00,25.5,89,9.7,0,0
Tan Uyen,2/28/2026 22:00,25,92,8.6,0,0
Tan Uyen,2/28/2026 23:00,24.6,93,8,0,0
Tan Uyen,3/1/2026 0:00,24.2,94,7.2,0,0
Tan Uyen,3/1/2026 1:00,24.2,95,7.8,0,0
Tan Uyen,3/1/2026 2:00,23.9,96,6.8,0,0
Tan Uyen,3/1/2026 3:00,23.9,97,6.8,0,0
Tan Uyen,3/1/2026 4:00,24,96,6.8,0,0
Tan Uyen,3/1/2026 5:00,24.1,95,6.3,0,0
Tan Uyen,3/1/2026 6:00,23.9,96,5.2,0,0
Tan Uyen,3/1/2026 7:00,24.6,95,3.9,0,0.25
Tan Uyen,3/1/2026 8:00,25.9,87,8.7,0,1.7
Tan Uyen,3/1/2026 9:00,27.5,79,9.6,0,3.85
Tan Uyen,3/1/2026 10:00,29.1,70,9.2,0,6.05
Tan Uyen,3/1/2026 11:00,30.3,64,8.9,0,7.85
Tan Uyen,3/1/2026 12:00,31.3,58,8.4,0,8.85
Tan Uyen,3/1/2026 13:00,32.4,54,6.7,0,8.95
Tan Uyen,3/1/2026 14:00,32.9,52,6.1,0,8.1
Tan Uyen,3/1/2026 15:00,33.1,51,4.7,0,6.45
Tan Uyen,3/1/2026 16:00,32.8,51,5.8,0,2.65
Tan Uyen,3/1/2026 17:00,32.1,53,6.3,0,0.7
Tan Uyen,3/1/2026 18:00,30.1,63,6.4,0,0.1
Tan Uyen,3/1/2026 19:00,28.5,72,8.3,0,0
Tan Uyen,3/1/2026 20:00,27.2,76,10.2,0,0
Tan Uyen,3/1/2026 21:00,26.1,80,9.3,0,0
Tan Uyen,3/1/2026 22:00,25.4,84,8.9,0,0
Tan Uyen,3/1/2026 23:00,25,87,8.8,0,0
Tan Uyen,3/2/2026 0:00,24.6,91,7.4,0,0
Tan Uyen,3/2/2026 1:00,24.5,94,7.5,0,0
Tan Uyen,3/2/2026 2:00,24.5,95,6.6,0,0
Tan Uyen,3/2/2026 3:00,24.6,95,6.3,0,0
Tan Uyen,3/2/2026 4:00,24.7,95,6,0,0
Tan Uyen,3/2/2026 5:00,24.7,95,5.4,0,0
Tan Uyen,3/2/2026 6:00,24.6,95,5.4,0,0
Tan Uyen,3/2/2026 7:00,25.1,94,4.2,0,0.25
Tan Uyen,3/2/2026 8:00,26.3,87,8.4,0,1.5
Tan Uyen,3/2/2026 9:00,27.9,78,10.3,0,3.6
Tan Uyen,3/2/2026 10:00,29.2,70,10,0,5.7
Tan Uyen,3/2/2026 11:00,30.8,64,9.2,0,7.65
Tan Uyen,3/2/2026 12:00,32,59,8.3,0,8.8
Tan Uyen,3/2/2026 13:00,32.9,55,8.1,0,8.9
Tan Uyen,3/2/2026 14:00,33.6,52,7.7,0,5.45
Tan Uyen,3/2/2026 15:00,33.8,51,9,0,1.9
Tan Uyen,3/2/2026 16:00,33.4,51,9.7,0,1.2
Tan Uyen,3/2/2026 17:00,32,56,12.9,0,0.75
Tan Uyen,3/2/2026 18:00,29.7,64,12.1,0,0.2
Tan Uyen,3/2/2026 19:00,28,72,10.4,0,0
Tan Uyen,3/2/2026 20:00,26.8,77,9.8,0,0
Tan Uyen,3/2/2026 21:00,25.9,84,9.5,0,0
Tan Uyen,3/2/2026 22:00,25.3,88,9.4,0,0
Tan Uyen,3/2/2026 23:00,24.9,90,9.4,0,0
Tan Uyen,3/3/2026 0:00,24.5,91,8.9,0,0
Tan Uyen,3/3/2026 1:00,24.2,94,5.6,0,0
Tan Uyen,3/3/2026 2:00,23.9,96,4.3,0,0
Tan Uyen,3/3/2026 3:00,24,96,3.9,0,0
Tan Uyen,3/3/2026 4:00,24.1,96,4.6,0,0
Tan Uyen,3/3/2026 5:00,24.2,96,4.7,0,0
Tan Uyen,3/3/2026 6:00,24.3,96,4.7,0,0
Tan Uyen,3/3/2026 7:00,24.6,95,5.1,0,0.25
Tan Uyen,3/3/2026 8:00,25.8,89,8.7,0,1.7
Tan Uyen,3/3/2026 9:00,27.4,80,9.6,0,3.85
Tan Uyen,3/3/2026 10:00,28.9,73,9.2,0,6.1
Tan Uyen,3/3/2026 11:00,30.5,66,7.6,0,7.85
Tan Uyen,3/3/2026 12:00,31.9,59,5.4,0,8.85
Tan Uyen,3/3/2026 13:00,33.1,55,6.3,0,8.95
Tan Uyen,3/3/2026 14:00,33.7,52,6,0,7.55
Tan Uyen,3/3/2026 15:00,33.9,51,6.6,0,4.95
Tan Uyen,3/3/2026 16:00,33.6,51,7.2,0,1.95
Tan Uyen,3/3/2026 17:00,32.7,53,7.2,0,0.7
Tan Uyen,3/3/2026 18:00,30.8,63,6.6,0,0.35
Tan Uyen,3/3/2026 19:00,29,71,9.2,0,0
Tan Uyen,3/3/2026 20:00,27.7,77,9.8,0,0
Tan Uyen,3/3/2026 21:00,26.7,81,9.7,0,0
Tan Uyen,3/3/2026 22:00,26,84,9.5,0,0
Tan Uyen,3/3/2026 23:00,25.5,87,9.4,0,0
Tan Uyen,3/4/2026 0:00,25.3,89,9.7,0,0
Tan Uyen,3/4/2026 1:00,24.9,90,9.8,0,0
Tan Uyen,3/4/2026 2:00,24.8,91,7.8,0,0
Tan Uyen,3/4/2026 3:00,24.8,91,6.4,0,0
Tan Uyen,3/4/2026 4:00,24.7,91,5.6,0,0
Tan Uyen,3/4/2026 5:00,24.5,92,5.2,0,0
Tan Uyen,3/4/2026 6:00,24.3,94,4.8,0,0
Tan Uyen,3/4/2026 7:00,24.9,93,3.6,0,0.25
Tan Uyen,3/4/2026 8:00,26.2,86,8.4,0,1.7
Tan Uyen,3/4/2026 9:00,27.5,79,9.6,0,3.9
Tan Uyen,3/4/2026 10:00,28.4,76,8.7,0.2,5.9
Tan Uyen,3/4/2026 11:00,29.3,72,7.4,0.4,7.4
Tan Uyen,3/4/2026 12:00,30.2,67,5.9,0.1,8.75
Tan Uyen,3/4/2026 13:00,31.6,63,7.6,0,7.3
Tan Uyen,3/4/2026 14:00,32.6,59,6.1,0,2.3
Tan Uyen,3/4/2026 15:00,32.6,58,5.9,0,1.65
Tan Uyen,3/4/2026 16:00,32.3,59,6.9,0,2.9
Tan Uyen,3/4/2026 17:00,31.8,58,6.4,0,2.05
Tan Uyen,3/4/2026 18:00,30.3,64,5.4,0,0.4
Tan Uyen,3/4/2026 19:00,28.4,75,9.5,0,0
Tan Uyen,3/4/2026 20:00,27.4,78,10,0,0
Tan Uyen,3/4/2026 21:00,26.4,80,9.8,0,0
Tan Uyen,3/4/2026 22:00,25.6,84,9.9,0,0
Tan Uyen,3/4/2026 23:00,25,86,9,0,0
Tan Uyen,3/5/2026 0:00,24.6,87,8.2,0,0
Tan Uyen,3/5/2026 1:00,24.5,88,8.5,0,0
Tan Uyen,3/5/2026 2:00,24.3,91,7.2,0,0
Tan Uyen,3/5/2026 3:00,24.2,92,5.8,0,0
Tan Uyen,3/5/2026 4:00,24.1,93,4.4,0,0
Tan Uyen,3/5/2026 5:00,24.1,94,2.5,0,0
Tan Uyen,3/5/2026 6:00,24.1,94,0.5,0,0
Tan Uyen,3/5/2026 7:00,24.8,92,1.5,0,0.25
Tan Uyen,3/5/2026 8:00,26.4,85,3.9,0,1.75
Tan Uyen,3/5/2026 9:00,27.8,68,8.4,0,3.9
Tan Uyen,3/5/2026 10:00,28.9,61,7.3,0,6.15
Tan Uyen,3/5/2026 11:00,29.9,57,6.4,0,7.9
Tan Uyen,3/5/2026 12:00,30.8,56,6.3,0,8.9
Tan Uyen,3/5/2026 13:00,31.1,56,2.7,0,8.95
Tan Uyen,3/5/2026 14:00,32,53,1.8,0,5.9
Tan Uyen,3/5/2026 15:00,32.2,50,1.5,0,2.25
Tan Uyen,3/5/2026 16:00,31.9,50,1.8,0,1.3
Tan Uyen,3/5/2026 17:00,31.2,52,5.6,0,1.3
Tan Uyen,3/5/2026 18:00,28.7,69,9.5,0,0.1
Tan Uyen,3/5/2026 19:00,27.4,79,8.2,0,0
Tan Uyen,3/5/2026 20:00,26.6,83,6.1,0,0
Tan Uyen,3/5/2026 21:00,26.2,85,5,0,0
Tan Uyen,3/5/2026 22:00,25.7,86,5.7,0,0
Tan Uyen,3/5/2026 23:00,25.2,86,6.2,0,0
Tan Uyen,3/6/2026 0:00,24.7,88,5.8,0,0
Tan Uyen,3/6/2026 1:00,24.9,90,2.2,0,0
